caldt,vwretd
19780426,0.002266
19780427,-0.010217
19780428,0.010454
19780501,0.009220
19780502,-0.003714
19780503,-0.010013
19780504,-0.001701
19780505,0.006952
19780508,-0.003289
19780509,-0.001874
19780510,0.000424
19780511,0.013348
19780512,0.009173
19780515,0.007356
19780516,0.006377
19780517,0.002518
19780518,-0.009377
19780519,-0.005493
19780522,0.010477
19780523,-0.008690
19780524,-0.009563
19780525,-0.002566
19780526,-0.002293
19780530,0.002621
19780531,0.004267
19780601,0.001482
19780602,0.008238
19780605,0.018544
19780606,0.004299
19780607,-0.002239
19780608,0.000795
19780609,-0.002771
19780612,-0.003342
19780613,0.000981
19780614,-0.001627
19780615,-0.011354
19780616,-0.009379
19780619,0.000357
19780620,-0.010034
19780621,-0.005057
19780622,0.002250
19780623,-0.004101
19780626,-0.012766
19780627,0.004043
19780628,0.004407
19780629,0.001945
19780630,-0.001000
19780703,-0.004012
19780705,-0.008663
19780706,0.000901
19780707,0.005778
19780710,0.004015
19780711,0.006677
19780712,0.003639
19780713,-0.000029
19780714,0.013972
19780717,0.002509
19780718,-0.009400
19780719,0.013299
19780720,-0.001050
19780721,-0.003067
19780724,-0.000371
19780725,0.008068
19780726,0.006369
19780727,0.004969
19780728,0.004643
19780731,0.007614
19780801,0.000771
19780802,0.024326
19780803,0.005050
19780804,0.005019
19780807,-0.003432
19780808,0.005071
19780809,0.004792
19780810,-0.007719
19780811,0.002958
19780814,0.000608
19780815,-0.000804
19780816,0.007678
19780817,0.004570
19780818,-0.003663
19780821,-0.007715
19780822,0.003770
19780823,0.005917
19780824,0.001917
19780825,-0.000191
19780828,-0.008153
19780829,-0.005951
19780830,0.000926
19780831,-0.002249
19780901,0.004550
19780905,0.007839
19780906,0.008684
19780907,0.000418
19780908,0.014137
19780911,0.001101
19780912,0.000930
19780913,-0.006703
19780914,-0.011237
19780915,-0.009364
19780918,-0.009287
19780919,-0.006008
19780920,-0.007670
19780921,0.001162
19780922,-0.000156
19780925,0.000228
19780926,0.007357
19780927,-0.009490
19780928,0.003097
19780929,0.005414
19781002,0.003968
19781003,-0.003385
19781004,0.005326
19781005,0.001872
19781006,0.002342
19781009,0.010885
19781010,-0.001904
19781011,0.011549
19781012,-0.006651
19781013,-0.002934
19781016,-0.019175
19781017,-0.013596
19781018,-0.007385
19781019,-0.012594
19781020,-0.012816
