"","PERMNO","YEAR","RET-bji","RET-yxia"
"436","10026","2016"," 1.432599e+06",0.158931382021662
"437","10027","1986","-6.180000e-07",-0.274726418302622
"438","10027","1987","-1.380000e-01",-0.545454131458185
"439","10027","1988","-6.550000e-01",0.0999997617862076
"440","10027","1989"," 1.537133e+04",1.22727203030779
"441","10027","1990","-1.550000e-01",0.102041
"442","10027","1990","-2.040000e-02",0.102041
"443","10028","1986"," 2.777781e-01",-0.555555657224356
"444","10028","1987","-6.521739e-01",0.0625011012051129
"445","10028","1988","-6.739127e-01",-0.588234539769549
"446","10028","1989"," 1.255921e+04",-0.702380761238793
"447","10028","1990"," 2.000000e-01",-0.439999608978514
"448","10028","1990","-9.547101e-01",-0.439999608978514
"449","10028","1992","-4.814806e-01",-0.421052303564649
"450","10028","1993"," 4.629651e+00",0.772728511633936
"451","10028","1994"," 4.885406e+03",-0.076923430637735
"452","10028","1995"," 6.013039e+03",-0.444444289748179
"453","10028","1996"," 7.472637e+03",-0.150001222557483
"454","10028","1997"," 8.162000e+03",1.58823628830847
"455","10028","1998"," 7.640136e+03",0.386363910277857
"456","10028","1999"," 8.148861e+03",0.573771597766054
"457","10028","2000"," 9.246051e+03",0.416666295202214
"458","10028","2001"," 1.100366e+04",-0.600000113256368
"459","10028","2002","-9.140000e-07",-0.686765151345053
"460","10028","2003","-6.030000e-01",1.20657360457154
"461","10028","2004"," 1.807906e+04",0.200000063492491
"462","10028","2005"," 4.680834e-02",-0.29432621274943
"463","10028","2006"," 2.208756e-01",0.276381855904519
"464","10028","2007"," 1.296454e+04",1.0669262668922
"465","10028","2008"," 7.228515e-02",-0.676190787877779
"466","10028","2009"," 4.977225e+04",-0.170587582259494
"467","10028","2010"," 3.267489e+04",2.03546081694575
"468","10028","2011"," 2.218176e+04",0.745328777060882
"469","10028","2012"," 2.442347e+04",-0.273092926341086
"470","10028","2013"," 8.172648e+04",-0.589318398097579
"471","10028","2014"," 7.753135e+04",-0.452914743779715
"472","10028","2015","-6.582620e-01",-0.729508615864085
"473","10028","2016"," 4.137583e+04",2.75757647450662
"474","10029","1986","-1.162900e-02",-0.326316722177546
"475","10029","1987","-1.954020e-01",-0.343749366313336
"476","10029","1988","-4.942543e-01",1.25562212272001e-06
"477","10029","1989"," 2.334342e+04",-0.0952398170182375
"478","10029","1990","-5.632171e-01",0.289473305522839
"479","10029","1990"," 1.315800e-02",0.289473305522839
"480","10030","1926"," 1.106667e+00",-0.0399568462625539
"481","10030","1927"," 8.508028e-01",0.412661146875545
"482","10030","1928"," 1.169510e+00",0.150541607075185
"483","10030","1929"," 1.336556e+00",0.0217272197420852
"484","10030","1930"," 1.363658e+00",-0.256825095769019
"485","10030","1931"," 1.029178e+00",-0.519044060258656
"486","10030","1932"," 5.680197e-01",-0.246484135843349
"487","10030","1933"," 3.704805e-01",2.01856811417096
"488","10030","1934"," 1.117023e+00",0.0130527102922067
"489","10030","1935"," 1.144783e+00",0.224425944482199
"490","10030","1936"," 1.558831e-01",0.83751252163243
"491","10030","1937"," 4.788410e-01",-0.408061537400071
"492","10030","1938","-6.401607e-03",0.25013760645798
"493","10030","1939"," 2.293862e-01",-0.111534257031478
"494","10030","1940"," 1.002375e-01",-0.0918796668314404
"495","10030","1941","-2.364867e-02",-0.178207351402246
"496","10030","1942","-1.897125e-01",0.0750724380894527
"497","10030","1943","-1.798027e-01",0.693255098997161
"498","10030","1944"," 2.132482e-01",0.178184141790168
"499","10030","1945"," 4.719138e-01",0.311847874904916
"500","10030","1946"," 4.717746e-03",-0.245698321023711
"501","10030","1947","-8.194134e-02",-0.0295974898737305
"502","10030","1948","-9.346266e-02",-0.16868781621744
"503","10030","1949","-2.379308e-01",0.118340312965242
"504","10030","1950","-1.698998e-01",0.877148050831578
"505","10030","1951"," 2.097564e-01",0.181160345374849
"506","10030","1952"," 3.288831e-01",0.0222491758517787
"507","10030","1953"," 3.317854e-01",-0.0177028152440448
"508","10030","1954"," 3.440000e-01",0.0744249104200501
"509","10030","1955"," 4.120499e-01",0.221080567536045
"510","10030","1956","-3.067502e-03",0.237105367970657
"511","10030","1957"," 1.593742e-01",-0.278014111922407
